1,57064,0.0
1.5,57064,0.0
2,57064,4.0
2.5,57064,2.0
3,57064,0.0
3.5,57064,4.0
4,57064,2.0
4.5,57064,0.0
5,57064,2.0
5.5,57064,2.0
6,57064,0.0
6.5,57064,2.0
7,57064,2.0
7.5,57064,2.0
8,57064,0.0
8.5,57064,2.0
9,57064,2.0
9.5,57064,0.0
10,57064,2.0
10.5,57064,0.0
11,57508,28.0
11.5,57508,20.0
12,57508,24.0
12.5,57732,30.0
13,57732,26.0
13.5,57732,26.0
14,57732,27.5
14.5,57732,26.0
15,57732,28.0
15.5,57732,28.0
16,57732,28.0
16.5,57732,28.0
17,57732,28.0
17.5,57732,26.0
18,57732,20.0
18.5,57732,0.0
19,57732,2.0
19.5,57732,0.0
20,57732,2.0
20.5,57732,0.0
21,57732,2.0
21.5,57732,4.0
22,57732,0.0
22.5,57732,2.0
23,57732,2.0
23.5,57732,0.0
24,57732,2.0
24.5,57732,2.0
25,57732,2.0
25.5,57732,2.0
26,57732,0.0
26.5,57732,2.0
27,57732,2.0
27.5,57732,0.0
28,57732,0.0
28.5,57732,4.0
29,57732,0.0
29.5,57732,4.0
30,57732,2.0
30.5,57732,0.0
31,57732,2.0
31.5,57732,2.0
32,57732,0.0
32.5,57732,2.0
33,57732,2.0
33.5,57732,2.0
34,57732,0.0
34.5,57732,2.0
35,57732,2.0
35.5,57732,2.0
36,57732,0.0
36.5,57732,2.0
37,57732,2.0
37.5,57732,0.0
38,57732,2.0
38.5,57732,0.0
39,57732,2.0
39.5,57732,0.0
40,57732,4.0
40.5,57732,0.0
41,57732,2.0
41.5,57732,0.0
42,57732,2.0
42.5,57732,2.0
43,57732,2.0
43.5,57732,0.0
44,57732,4.0
44.5,57732,0.0
45,57732,2.0
45.5,57732,2.0
46,57732,2.0
46.5,57732,0.0
47,57732,2.0
47.5,57732,2.0
48,57732,0.0
48.5,57732,2.0
49,57732,2.0
49.5,57732,0.0
50,57732,2.0
50.5,57732,0.0
51,57732,2.0
51.5,57732,2.0
52,57732,0.0
52.5,57732,2.0
53,57732,4.0
53.5,57732,0.0
54,57732,2.0
54.5,57732,0.0
55,57732,2.0
55.5,57732,0.0
56,57732,2.0
56.5,57732,2.0
57,57732,2.0
57.5,57732,2.0
58,57732,2.0
58.5,57732,0.0
59,57732,2.0
59.5,57732,2.0
60,57732,2.0
60.5,57732,0.0
61,57732,2.0
61.5,57732,2.0
62,57732,0.0
62.5,57732,2.0
63,57732,0.0
63.5,57732,4.0
64,57732,0.0
64.5,57732,2.0
65,57732,2.0
65.5,57732,0.0
66,57732,2.0
